region,source,series,t_col,value_col,threshold,init_t,peak_t,peak_value,term_t,duration_bins
Irminger,BGC,Integrated,month,DEPTH_INT_CHL_clim,0.08674593307077885,4,6,0.16164861619472504,9,5
Iceland,BGC,Integrated,month,DEPTH_INT_CHL_clim,0.09125597141683102,4,5,0.3284265100955963,7,3
Irminger,BGC,10m,month,DEPTH_INT_CHL_10m_clim,0.6420632600784302,5,6,1.8554826974868774,9,4
Iceland,BGC,10m,month,DEPTH_INT_CHL_10m_clim,0.6768705904483795,5,5,1.9655189514160156,9,4
Irminger,Satellite,Surface,month,CHL,0.3512474521994591,5,6,0.705801784992218,9,4
Iceland,Satellite,Surface,month,CHL,0.386492657661438,5,8,0.7366721034049988,9,4
Irminger,BGC,Zeu,month,INT_CHL_ZEU_clim,0.7468650897466149,5,6,1.9571907005758367,9,4
Iceland,BGC,Zeu,month,INT_CHL_ZEU_clim,0.6146815553331757,5,5,1.677806492869886,9,4
